('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1158513 function calls (1124402 primitive calls) in 3.667 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      192    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      192    0.000    0.000    0.011    0.000 _parser.py:97(closegroup)
      188    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      187    0.000    0.000    0.000    0.000 enum.py:432(<genexpr>)
      185    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      174    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      170    0.000    0.000    0.004    0.000 parser.py:350(parse_comment)
      170    0.000    0.000    0.003    0.000 _htmlparser.py:269(handle_comment)
      167    0.000    0.000    0.000    0.000 enum.py:1337(value)
      167    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      161    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      155    0.001    0.000    0.002    0.000 enum.py:354(__setitem__)
      153    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
      151    0.000    0.000    0.001    0.000 enum.py:1596(__or__)
      150    0.001    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      150    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      147    0.000    0.000    0.000    0.000 financial_enhanced.py:27(<lambda>)
      147    0.000    0.000    0.001    0.000 dataclasses.py:709(_is_type)
      146    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.005    0.000 css_parser.py:395(freeze)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      141    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      139    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
  135/100    0.000    0.000    0.010    0.000 typing.py:574(__getitem__)
      130    0.007    0.000    0.036    0.000 filter.py:130(filter)
      129    0.003    0.000    0.007    0.000 _compiler.py:470(_get_charset_prefix)
      129    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
      122    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
