('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.004    0.000 __init__.py:358(namedtuple)
        1    0.000    0.000    0.004    0.004 ssl.py:430(__new__)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      348    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.004    0.004 fields.py:1(<module>)
      268    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      663    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
      516    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       79    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
       10    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     2815    0.002    0.000    0.003    0.000 filter.py:292(matches_string)
      161    0.001    0.000    0.003    0.000 enum.py:1596(__or__)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pretty.py:1(<module>)
     9838    0.003    0.000    0.003    0.000 element.py:3090(descendants)
     9198    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
       23    0.000    0.000    0.003    0.000 enum.py:498(__new__)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
     4721    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      376    0.000    0.000    0.003    0.000 enum.py:695(__call__)
      308    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      258    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.003    0.003 message.py:1(<module>)
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
       19    0.000    0.000    0.003    0.000 element.py:2957(find)
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
        1    0.000    0.000    0.003    0.003 base64mime.py:1(<module>)
